SMEs,Location,Activity,"Turnover January,2018 (Pounds in millions)","Pre-tax Profit January,2018 (Pounds in millions)",Tax 2018 (Pounds in millions) ,"No of Employee January,2018","Turnover Febuary,2018 (Pounds in millions)","Pre-tax Profit Febuary,2018 (Pounds in millions)","Tax Febuary,2018 (Pounds in millions)","No of Employee Febuary,2018","Turnover March,2018 (Pounds in millions)","Pre-tax Profit March,2018 (Pounds in millions)","Tax March,2018 (Pounds in millions)","No of Employee March,2018","Pre-tax Profit April,2018 (Pounds in millions)","Tax April,2018 (Pounds in millions)","No of Employee April,2018","Turnover May,2018 (Pounds in millions)","Pre-tax Profit May,2018 (Pounds in millions)","Tax May,2018 (Pounds in millions)","No of Employee May,2018","Turnover June,2018 (Pounds in millions)","Pre-tax Profit June,2018 (Pounds in millions)","Tax June,2018 (Pounds in millions)","No of Employee June,2018","Turnover July,2018 (Pounds in millions)","Pre-tax Profit July,2018 (Pounds in millions)","Tax July,2018 (Pounds in millions)","No of Employee July,2018","Turnover August,2018 (Pounds in millions)","Pre-tax Profit August,2018 (Pounds in millions)","Tax August,2018 (Pounds in millions)","No of Employee August,2018","Turnover September,2018 (Pounds in millions)","Pre-tax Profit September,2018 (Pounds in millions)","Tax September,2018 (Pounds in millions)","No of Employee September,2018","Turnover October,2018 (Pounds in millions)","Pre-tax Profit October,2018 (Pounds in millions)","Tax October,2018 (Pounds in millions)","No of Employee October,2018","Turnover November,2018 (Pounds in millions)","Pre-tax Profit November,2018 (Pounds in millions)","Tax November,2018 (Pounds in millions)","No of Employee November,2018","Turnover December,2018 (Pounds in millions)","Pre-tax Profit December,2018 (Pounds in millions)","Tax December,2018 (Pounds in millions)"
History & Heraldry,Rotherham,Gift distributor,33114,2057,267.41,238,34107.42,2262.7,452.54,238,35431.98,2488.97,497.79,238,2262.7,452.54,238,38081.1,2375.84,475.17,238,39405.66,2307.95,461.59,240,41061.36,2312.57,462.51,240,42385.92,2267.23,453.45,240,43048.2,2375.84,475.17,240,44372.76,2262.7,452.54,240,44703.9,2307.95,461.59,240,45597.98,2377.19,475.44
Morris & CO.,Doncaster,Sale of salvaged and reclaimed materials,25307,2017,262.21,40,26066.21,2218.7,443.74,40,27078.49,2440.57,488.11,40,2218.7,443.74,40,29103.05,2329.64,465.93,40,30115.33,2263.07,452.61,42,31380.68,2267.6,453.52,42,32392.96,2223.14,444.63,42,32899.1,2329.64,465.93,42,33911.38,2218.7,443.74,42,34164.45,2263.07,452.61,42,34847.74,2330.97,466.19
IVY Cottage,Barnsley,Provision of care for people,5737,2012,261.56,178,5909.11,2213.2,442.64,178,6138.59,2434.52,486.9,178,2213.2,442.64,178,6597.55,2323.86,464.77,178,6827.03,2257.46,451.49,180,7113.88,2261.98,452.4,180,7343.36,2217.63,443.53,180,7458.1,2323.86,464.77,180,7687.58,2213.2,442.64,180,7744.95,2257.46,451.49,180,7899.85,2325.19,465.04
Haughton Textiles,Barnsley,"Manufacturing, processing and distribution of textile products",25900,2000,260,240,26677,2200,440,240,27713,2420,484,240,2200,440,240,29785,2310,462,240,30821,2244,448.8,242,32116,2248.49,449.7,242,33152,2204.4,440.88,242,33670,2310,462,242,34706,2200,440,242,34965,2244,448.8,242,35664.3,2311.32,462.26
Bridgstock,Chesterfield,"Drillers to the mining, water and gas industries",15804,1974,256.62,56,16278.12,2171.4,434.28,56,16910.28,2388.54,477.71,56,2171.4,434.28,56,18174.6,2279.97,455.99,56,18806.76,2214.83,442.97,58,19596.96,2219.26,443.85,58,20229.12,2175.74,435.15,58,20545.2,2279.97,455.99,58,21177.36,2171.4,434.28,58,21335.4,2214.83,442.97,58,21762.11,2281.27,456.25
A.E.Spink,Chesterfield,Sale of electrofusion fittings and electrical parts,30825,1957,254.41,97,31749.75,2152.7,430.54,97,32982.75,2367.97,473.59,97,2152.7,430.54,97,35448.75,2260.34,452.07,97,36681.75,2195.75,439.15,99,38223,2200.15,440.03,99,39456,2157.01,431.4,99,40072.5,2260.34,452.07,99,41305.5,2152.7,430.54,99,41613.75,2195.75,439.15,99,42446.03,2261.63,452.33
Carver Engineering,Doncaster,Builders' and plumbers' merchants and ironmongers,30581,1931,251.03,88,31498.43,2124.1,424.82,88,32721.67,2336.51,467.3,88,2124.1,424.82,88,35168.15,2230.31,446.06,88,36391.39,2166.58,433.32,90,37920.44,2170.92,434.18,90,39143.68,2128.35,425.67,90,39755.3,2230.31,446.06,90,40978.54,2124.1,424.82,90,41284.35,2166.58,433.32,90,42110.04,2231.58,446.32
DSS Group,Doncaster,General engineering & fabrication,9353,1919,249.47,56,9633.59,2110.9,422.18,56,10007.71,2321.99,464.4,56,2110.9,422.18,56,10755.95,2216.45,443.29,56,11130.07,2153.12,430.62,58,11597.72,2157.42,431.48,58,11971.84,2115.12,423.02,58,12158.9,2216.45,443.29,58,12533.02,2110.9,422.18,58,12626.55,2153.12,430.62,58,12879.08,2217.71,443.54
Dearneside Fabrications,Doncaster,Specialist foundation and piling services,17085,1907,247.91,83,17597.55,2097.7,419.54,83,18280.95,2307.47,461.49,83,2097.7,419.54,83,19647.75,2202.59,440.52,83,20331.15,2139.65,427.93,85,21185.4,2143.93,428.79,85,21868.8,2101.9,420.38,85,22210.5,2202.59,440.52,85,22893.9,2097.7,419.54,85,23064.75,2139.65,427.93,85,23526.05,2203.84,440.77
Wordsworth Excavations,Sheffield,Metal fabricators,12350,1886,245.18,90,12720.5,2074.6,414.92,90,13214.5,2282.06,456.41,90,2074.6,414.92,90,14202.5,2178.33,435.67,90,14696.5,2116.09,423.22,92,15314,2120.32,424.06,92,15808,2078.75,415.75,92,16055,2178.33,435.67,92,16549,2074.6,414.92,92,16672.5,2116.09,423.22,92,17005.95,2179.57,435.91
Ronald Hull Jnr.,Chesterfield,Provision of architectural services,9152,1883,244.79,130,9426.56,2071.3,414.26,130,9792.64,2278.43,455.69,130,2071.3,414.26,130,10524.8,2174.87,434.97,130,10890.88,2112.73,422.55,132,11348.48,2116.95,423.39,132,11714.56,2075.44,415.09,132,11897.6,2174.87,434.97,132,12263.68,2071.3,414.26,132,12355.2,2112.73,422.55,132,12602.3,2176.11,435.22
Asmet,Barnsley,Site preparation for development and excavation,12100,1864,242.32,56,12463,2050.4,410.08,56,12947,2255.44,451.09,56,2050.4,410.08,56,13915,2152.92,430.58,56,14399,2091.41,418.28,58,15004,2095.59,419.12,58,15488,2054.5,410.9,58,15730,2152.92,430.58,58,16214,2050.4,410.08,58,16335,2091.41,418.28,58,16661.7,2154.15,430.83
GO2 Foods,Rotherham,"Property investment, metal merchants, demolition and excavation contractors",27952,1789,232.57,145,28790.56,1967.9,393.58,145,29908.64,2164.69,432.94,145,1967.9,393.58,145,32144.8,2066.3,413.26,145,33262.88,2007.26,401.45,147,34660.48,2011.27,402.25,147,35778.56,1971.84,394.37,147,36337.6,2066.3,413.26,147,37455.68,1967.9,393.58,147,37735.2,2007.26,401.45,147,38489.9,2067.48,413.5
Panache Lingerie,Dronfield,"Procurement, production, logistics management and supply of metallurgical consumables and specialist products",18759,1755,228.15,11,19321.77,1930.5,386.1,11,20072.13,2123.55,424.71,11,1930.5,386.1,11,21572.85,2027.03,405.41,11,22323.21,1969.11,393.82,13,23261.16,1973.05,394.61,13,24011.52,1934.36,386.87,13,24386.7,2027.03,405.41,13,25137.06,1930.5,386.1,13,25324.65,1969.11,393.82,13,25831.14,2028.18,405.64
GRI Libra,Doncaster,Food manufacturer specialising in yorkshire puddings and associated products,13010,1715,222.95,148,13400.3,1886.5,377.3,148,13920.7,2075.15,415.03,148,1886.5,377.3,148,14961.5,1980.83,396.17,148,15481.9,1924.23,384.85,150,16132.4,1928.08,385.62,150,16652.8,1890.27,378.05,150,16913,1980.83,396.17,150,17433.4,1886.5,377.3,150,17563.5,1924.23,384.85,150,17914.77,1981.96,396.39
Pinelog Group,Sheffield,Wholesale distribution of ladies undergarments and swimwear,24989,1686,219.18,117,25738.67,1854.6,370.92,117,26738.23,2040.06,408.01,117,1854.6,370.92,117,28737.35,1947.33,389.47,117,29736.91,1891.69,378.34,119,30986.36,1895.48,379.1,119,31985.92,1858.31,371.66,119,32485.7,1947.33,389.47,119,33485.26,1854.6,370.92,119,33735.15,1891.69,378.34,119,34409.85,1948.44,389.69
Roe Developments,Sheffield,Manufacture and distribution of chemcial products,26652,1684,218.92,58,27451.56,1852.4,370.48,58,28517.64,2037.64,407.53,58,1852.4,370.48,58,30649.8,1945.02,389,58,31715.88,1889.45,377.89,60,33048.48,1893.23,378.65,60,34114.56,1856.1,371.22,60,34647.6,1945.02,389,60,35713.68,1852.4,370.48,60,35980.2,1889.45,377.89,60,36699.8,1946.13,389.23
Minorfern,Matlock,Manufacture of timber leisure buildings and operation of a holiday lettings,11563,1677,218.01,274,11909.89,1844.7,368.94,274,12372.41,2029.17,405.83,274,1844.7,368.94,274,13297.45,1936.94,387.39,274,13759.97,1881.59,376.32,276,14338.12,1885.36,377.07,276,14800.64,1848.39,369.68,276,15031.9,1936.94,387.39,276,15494.42,1844.7,368.94,276,15610.05,1881.59,376.32,276,15922.25,1938.04,387.61
Braithwaite Excavations,Rotherham,Earthworks contracting,17079,1671,217.23,30,17591.37,1838.1,367.62,30,18274.53,2021.91,404.38,30,1838.1,367.62,30,19640.85,1930.01,386,30,20324.01,1874.86,374.97,32,21177.96,1878.61,375.72,32,21861.12,1841.78,368.36,32,22202.7,1930.01,386,32,22885.86,1838.1,367.62,32,23056.65,1874.86,374.97,32,23517.78,1931.11,386.22
Warwick Ward,Chesterfield,Plant and machinery,23284,1656,215.28,243,23982.52,1821.6,364.32,243,24913.88,2003.76,400.75,243,1821.6,364.32,243,26776.6,1912.68,382.54,243,27707.96,1858.03,371.61,245,28872.16,1861.75,372.35,245,29803.52,1825.24,365.05,245,30269.2,1912.68,382.54,245,31200.56,1821.6,364.32,245,31433.4,1858.03,371.61,245,32062.07,1913.77,382.75
X-Cel Superturn,Barnsley,Manufacture of precision engineering components,10656,1601,208.13,24,10975.68,1761.1,352.22,24,11401.92,1937.21,387.44,24,1761.1,352.22,24,12254.4,1849.16,369.83,24,12680.64,1796.32,359.26,26,13213.44,1799.91,359.98,26,13639.68,1764.62,352.92,26,13852.8,1849.16,369.83,26,14279.04,1761.1,352.22,26,14385.6,1796.32,359.26,26,14673.31,1850.21,370.04
Wilsons Furnishers,Barnsley,Flooring wholesalers and retailers,23994,1598,207.74,85,24713.82,1757.8,351.56,85,25673.58,1933.58,386.72,85,1757.8,351.56,85,27593.1,1845.69,369.14,85,28552.86,1792.96,358.59,87,29752.56,1796.54,359.31,87,30712.32,1761.32,352.26,87,31192.2,1845.69,369.14,87,32151.96,1757.8,351.56,87,32391.9,1792.96,358.59,87,33039.74,1846.74,369.35
Thos.Winnard & Sons,Rotherham,Distribution of vehicle components,21856,1567,203.71,163,22511.68,1723.7,344.74,163,23385.92,1896.07,379.21,163,1723.7,344.74,163,25134.4,1809.89,361.98,163,26008.64,1758.17,351.63,165,27101.44,1761.69,352.34,165,27975.68,1727.15,345.43,165,28412.8,1809.89,361.98,165,29287.04,1723.7,344.74,165,29505.6,1758.17,351.63,165,30095.71,1810.92,362.18
URA Ventures,Rotherham,Contract hire and sale of motor vehicles and other related services,25588,1564,203.32,122,26355.64,1720.4,344.08,122,27379.16,1892.44,378.49,122,1720.4,344.08,122,29426.2,1806.42,361.28,122,30449.72,1754.81,350.96,124,31729.12,1758.32,351.66,124,32752.64,1723.84,344.77,124,33264.4,1806.42,361.28,124,34287.92,1720.4,344.08,124,34543.8,1754.81,350.96,124,35234.68,1807.45,361.49
SRS Rail System,Rotherham,Provision of specialist services to the railway industry,15774,1540,200.2,39,16247.22,1694,338.8,39,16878.18,1863.4,372.68,39,1694,338.8,39,18140.1,1778.7,355.74,39,18771.06,1727.88,345.58,41,19559.76,1731.34,346.27,41,20190.72,1697.39,339.48,41,20506.2,1778.7,355.74,41,21137.16,1694,338.8,41,21294.9,1727.88,345.58,41,21720.8,1779.72,355.94
SPD,Chesterfield,"Acquisition of land, reclamation and subsequent development",11696,1533,199.29,33,12046.88,1686.3,337.26,33,12514.72,1854.93,370.99,33,1686.3,337.26,33,13450.4,1770.62,354.12,33,13918.24,1720.03,344.01,35,14503.04,1723.47,344.69,35,14970.88,1689.67,337.93,35,15204.8,1770.62,354.12,35,15672.64,1686.3,337.26,35,15789.6,1720.03,344.01,35,16105.39,1771.63,354.33
Portland of Bawtry,Chesterfield,Used motor vehicle sales,17654,1473,191.49,101,18183.62,1620.3,324.06,101,18889.78,1782.33,356.47,101,1620.3,324.06,101,20302.1,1701.32,340.26,101,21008.26,1652.71,330.54,103,21890.96,1656.01,331.2,103,22597.12,1623.54,324.71,103,22950.2,1701.32,340.26,103,23656.36,1620.3,324.06,103,23832.9,1652.71,330.54,103,24309.56,1702.29,340.46
Tickhill Engineering Company,Sheffield,Manufacture of agricultural and food processing equipment,5106,1470,191.1,4,5259.18,1617,323.4,4,5463.42,1778.7,355.74,4,1617,323.4,4,5871.9,1697.85,339.57,4,6076.14,1649.34,329.87,6,6331.44,1652.64,330.53,6,6535.68,1620.23,324.05,6,6637.8,1697.85,339.57,6,6842.04,1617,323.4,6,6893.1,1649.34,329.87,6,7030.96,1698.82,339.76
Penny Hydraulics,Doncaster,Manufacture and servicing of hydraulic and electrical components,23414,1435,186.55,9,24116.42,1578.5,315.7,9,25052.98,1736.35,347.27,9,1578.5,315.7,9,26926.1,1657.43,331.49,9,27862.66,1610.07,322.01,11,29033.36,1613.29,322.66,11,29969.92,1581.66,316.33,11,30438.2,1657.43,331.49,11,31374.76,1578.5,315.7,11,31608.9,1610.07,322.01,11,32241.08,1658.37,331.67
Direct Trade,Doncaster,"Manufacture and distribution of window frames, doors and conservatories",12856,1429,185.77,71,13241.68,1571.9,314.38,71,13755.92,1729.09,345.82,71,1571.9,314.38,71,14784.4,1650.5,330.1,71,15298.64,1603.34,320.67,73,15941.44,1606.54,321.31,73,16455.68,1575.04,315.01,73,16712.8,1650.5,330.1,73,17227.04,1571.9,314.38,73,17355.6,1603.34,320.67,73,17702.71,1651.44,330.29
Intake Developments,Chesterfield,Operation of self service petrol filling stations,8740,1404,182.52,83,9002.2,1544.4,308.88,83,9351.8,1698.84,339.77,83,1544.4,308.88,83,10051,1621.62,324.32,83,10400.6,1575.29,315.06,85,10837.6,1578.44,315.69,85,11187.2,1547.49,309.5,85,11362,1621.62,324.32,85,11711.6,1544.4,308.88,85,11799,1575.29,315.06,85,12034.98,1622.55,324.51
BDB Design Build,Doncaster,Design and build of industrial and commercial properties,20548,1397,181.61,214,21164.44,1536.7,307.34,214,21986.36,1690.37,338.07,214,1536.7,307.34,214,23630.2,1613.54,322.71,214,24452.12,1567.43,313.49,216,25479.52,1570.57,314.11,216,26301.44,1539.77,307.95,216,26712.4,1613.54,322.71,216,27534.32,1536.7,307.34,216,27739.8,1567.43,313.49,216,28294.6,1614.46,322.89
Galaxy Insulation And DRY Lining,Barnsley,Distribution of insulation materials and associated products,37751,1367,177.71,8,38883.53,1503.7,300.74,8,40393.57,1654.07,330.81,8,1503.7,300.74,8,43413.65,1578.89,315.78,8,44923.69,1533.77,306.75,10,46811.24,1536.84,307.37,10,48321.28,1506.71,301.34,10,49076.3,1578.89,315.78,10,50586.34,1503.7,300.74,10,50963.85,1533.77,306.75,10,51983.13,1579.79,315.96
Compass Engineering,Sheffield,Structural engineering,33280,1365,177.45,23,34278.4,1501.5,300.3,23,35609.6,1651.65,330.33,23,1501.5,300.3,23,38272,1576.58,315.32,23,39603.2,1531.53,306.31,25,41267.2,1534.59,306.92,25,42598.4,1504.5,300.9,25,43264,1576.58,315.32,25,44595.2,1501.5,300.3,25,44928,1531.53,306.31,25,45826.56,1577.48,315.5
Excel Parking Services,Sheffield,Provision and management of car parking facilities,27820,1362,177.06,73,28654.6,1498.2,299.64,73,29767.4,1648.02,329.6,73,1498.2,299.64,73,31993,1573.11,314.62,73,33105.8,1528.16,305.63,75,34496.8,1531.22,306.24,75,35609.6,1501.2,300.24,75,36166,1573.11,314.62,75,37278.8,1498.2,299.64,75,37557,1528.16,305.63,75,38308.14,1574.01,314.8
Breasley Pillows,Barnsley,Foam conversion and the manufacture of bedding,19585,1349,175.37,35,20172.55,1483.9,296.78,35,20955.95,1632.29,326.46,35,1483.9,296.78,35,22522.75,1558.1,311.62,35,23306.15,1513.58,302.72,37,24285.4,1516.61,303.32,37,25068.8,1486.87,297.37,37,25460.5,1558.1,311.62,37,26243.9,1483.9,296.78,37,26439.75,1513.58,302.72,37,26968.55,1558.99,311.8
Johnson Bros,Sheffield,Coach and tour operators,15648,1243,161.59,334,16117.44,1367.3,273.46,334,16743.36,1504.03,300.81,334,1367.3,273.46,334,17995.2,1435.67,287.13,334,18621.12,1394.65,278.93,336,19403.52,1397.44,279.49,336,20029.44,1370.03,274.01,336,20342.4,1435.67,287.13,336,20968.32,1367.3,273.46,336,21124.8,1394.65,278.93,336,21547.3,1436.49,287.3
HRE Newco,Matlock,Consultancy and labour recruitment,36002,1225,159.25,218,37082.06,1347.5,269.5,218,38522.14,1482.25,296.45,218,1347.5,269.5,218,41402.3,1414.88,282.98,218,42842.38,1374.45,274.89,220,44642.48,1377.2,275.44,220,46082.56,1350.2,270.04,220,46802.6,1414.88,282.98,220,48242.68,1347.5,269.5,220,48602.7,1374.45,274.89,220,49574.75,1415.68,283.14
Gdma Group,Worksop,Residential care,11159,1201,156.13,140,11493.77,1321.1,264.22,140,11940.13,1453.21,290.64,140,1321.1,264.22,140,12832.85,1387.16,277.43,140,13279.21,1347.52,269.5,142,13837.16,1350.22,270.04,142,14283.52,1323.74,264.75,142,14506.7,1387.16,277.43,142,14953.06,1321.1,264.22,142,15064.65,1347.52,269.5,142,15365.94,1387.95,277.59
Plumbing Supplies Company,Chesterfield,Plumber's merchants,23812,1192,154.96,64,24526.36,1311.2,262.24,64,25478.84,1442.32,288.46,64,1311.2,262.24,64,27383.8,1376.76,275.35,64,28336.28,1337.42,267.48,66,29526.88,1340.1,268.02,66,30479.36,1313.82,262.76,66,30955.6,1376.76,275.35,66,31908.08,1311.2,262.24,66,32146.2,1337.42,267.48,66,32789.12,1377.55,275.51
Raveningham,Sheffield,"Installation, servicing and maintenance of lifts",6448,1178,153.14,200,6641.44,1295.8,259.16,200,6899.36,1425.38,285.08,200,1295.8,259.16,200,7415.2,1360.59,272.12,200,7673.12,1321.72,264.34,202,7995.52,1324.36,264.87,202,8253.44,1298.39,259.68,202,8382.4,1360.59,272.12,202,8640.32,1295.8,259.16,202,8704.8,1321.72,264.34,202,8878.9,1361.37,272.27
Mac's Transport,Sheffield,Sale of commercial vehicles and the rental of residential properties,12332,1173,152.49,53,12701.96,1290.3,258.06,53,13195.24,1419.33,283.87,53,1290.3,258.06,53,14181.8,1354.82,270.96,53,14675.08,1316.11,263.22,55,15291.68,1318.74,263.75,55,15784.96,1292.88,258.58,55,16031.6,1354.82,270.96,55,16524.88,1290.3,258.06,55,16648.2,1316.11,263.22,55,16981.16,1355.59,271.12
Planet X,Rotherham,Sale of bicycles and bicycle parts,15997,1165,151.45,125,16476.91,1281.5,256.3,125,17116.79,1409.65,281.93,125,1281.5,256.3,125,18396.55,1345.58,269.12,125,19036.43,1307.13,261.43,127,19836.28,1309.74,261.95,127,20476.16,1284.06,256.81,127,20796.1,1345.58,269.12,127,21435.98,1281.5,256.3,127,21595.95,1307.13,261.43,127,22027.87,1346.34,269.27
Panel Systems,Barnsley,"Manufacture of insulated building products, panels and cladding",27287,1143,148.59,28,28105.61,1257.3,251.46,28,29197.09,1383.03,276.61,28,1257.3,251.46,28,31380.05,1320.17,264.03,28,32471.53,1282.45,256.49,30,33835.88,1285.01,257,30,34927.36,1259.81,251.96,30,35473.1,1320.17,264.03,30,36564.58,1257.3,251.46,30,36837.45,1282.45,256.49,30,37574.2,1320.92,264.18
One Health Group,Rotherham,Provision of medical services,12669,1119,145.47,51,13049.07,1230.9,246.18,51,13555.83,1353.99,270.8,51,1230.9,246.18,51,14569.35,1292.45,258.49,51,15076.11,1255.52,251.1,53,15709.56,1258.03,251.61,53,16216.32,1233.36,246.67,53,16469.7,1292.45,258.49,53,16976.46,1230.9,246.18,53,17103.15,1255.52,251.1,53,17445.21,1293.18,258.64
A Shade Greener,Sheffield,Installation of solar panels.,13082,1097,142.61,70,13474.46,1206.7,241.34,70,13997.74,1327.37,265.47,70,1206.7,241.34,70,15044.3,1267.04,253.41,70,15567.58,1230.83,246.17,72,16221.68,1233.3,246.66,72,16744.96,1209.11,241.82,72,17006.6,1267.04,253.41,72,17529.88,1206.7,241.34,72,17660.7,1230.83,246.17,72,18013.91,1267.76,253.55
Rotherham Healthcare,Sheffield,Specialist residential care facility,18391,1084,140.92,54,18942.73,1192.4,238.48,54,19678.37,1311.64,262.33,54,1192.4,238.48,54,21149.65,1252.02,250.4,54,21885.29,1216.25,243.25,56,22804.84,1218.68,243.74,56,23540.48,1194.78,238.96,56,23908.3,1252.02,250.4,56,24643.94,1192.4,238.48,56,24827.85,1216.25,243.25,56,25324.41,1252.74,250.55
Jepson,Barnsley,Manufacture of vehicle number plates and signs,9412,1064,138.32,15,9694.36,1170.4,234.08,15,10070.84,1287.44,257.49,15,1170.4,234.08,15,10823.8,1228.92,245.78,15,11200.28,1193.81,238.76,17,11670.88,1196.2,239.24,17,12047.36,1172.74,234.55,17,12235.6,1228.92,245.78,17,12612.08,1170.4,234.08,17,12706.2,1193.81,238.76,17,12960.32,1229.62,245.92
E.E.Blyth & CO,Rotherham,Trading in metals and minerals,4683,1053,136.89,151,4823.49,1158.3,231.66,151,5010.81,1274.13,254.83,151,1158.3,231.66,151,5385.45,1216.22,243.24,151,5572.77,1181.47,236.29,153,5806.92,1183.83,236.77,153,5994.24,1160.62,232.12,153,6087.9,1216.22,243.24,153,6275.22,1158.3,231.66,153,6322.05,1181.47,236.29,153,6448.49,1216.91,243.38
Apollo Access,Sheffield,Provision of access equipment,15045,1052,136.76,82,15496.35,1157.2,231.44,82,16098.15,1272.92,254.58,82,1157.2,231.44,82,17301.75,1215.06,243.01,82,17903.55,1180.34,236.07,84,18655.8,1182.7,236.54,84,19257.6,1159.51,231.9,84,19558.5,1215.06,243.01,84,20160.3,1157.2,231.44,84,20310.75,1180.34,236.07,84,20716.97,1215.75,243.15
Lidget Compton,Worksop,Manufacture and erection of pre-cast concrete products,18951,1052,136.76,75,19519.53,1157.2,231.44,75,20277.57,1272.92,254.58,75,1157.2,231.44,75,21793.65,1215.06,243.01,75,22551.69,1180.34,236.07,77,23499.24,1182.7,236.54,77,24257.28,1159.51,231.9,77,24636.3,1215.06,243.01,77,25394.34,1157.2,231.44,77,25583.85,1180.34,236.07,77,26095.53,1215.75,243.15
Navartis,Sheffield,General commercial activities,9293,1049,136.37,98,9571.79,1153.9,230.78,98,9943.51,1269.29,253.86,98,1153.9,230.78,98,10686.95,1211.6,242.32,98,11058.67,1176.98,235.4,100,11523.32,1179.33,235.87,100,11895.04,1156.21,231.24,100,12080.9,1211.6,242.32,100,12452.62,1153.9,230.78,100,12545.55,1176.98,235.4,100,12796.46,1212.29,242.46
Vidlearn,Barnsley,Project management & consultancy,7804,1040,135.2,62,8038.12,1144,228.8,62,8350.28,1258.4,251.68,62,1144,228.8,62,8974.6,1201.2,240.24,62,9286.76,1166.88,233.38,64,9676.96,1169.21,233.84,64,9989.12,1146.29,229.26,64,10145.2,1201.2,240.24,64,10457.36,1144,228.8,64,10535.4,1166.88,233.38,64,10746.11,1201.89,240.38
Millgate,Doncaster,Sale of computer hardware and software and support,31717,1033,134.29,53,32668.51,1136.3,227.26,53,33937.19,1249.93,249.99,53,1136.3,227.26,53,36474.55,1193.12,238.62,53,37743.23,1159.03,231.81,55,39329.08,1161.34,232.27,55,40597.76,1138.57,227.71,55,41232.1,1193.12,238.62,55,42500.78,1136.3,227.26,55,42817.95,1159.03,231.81,55,43674.31,1193.8,238.76
QWP,Sheffield,Supply of fume extraction solutions,1888,1030,133.9,6,1944.64,1133,226.6,6,2020.16,1246.3,249.26,6,1133,226.6,6,2171.2,1189.65,237.93,6,2246.72,1155.66,231.13,8,2341.12,1157.97,231.59,8,2416.64,1135.27,227.05,8,2454.4,1189.65,237.93,8,2529.92,1133,226.6,8,2548.8,1155.66,231.13,8,2599.78,1190.33,238.07
Datagraphic,Sheffield,Strategic document outsourcing through a multi-channel platform,53539,1024,133.12,108,55145.17,1126.4,225.28,108,57286.73,1239.04,247.81,108,1126.4,225.28,108,61569.85,1182.72,236.54,108,63711.41,1148.93,229.79,110,66388.36,1151.23,230.25,110,68529.92,1128.65,225.73,110,69600.7,1182.72,236.54,110,71742.26,1126.4,225.28,110,72277.65,1148.93,229.79,110,73723.2,1183.4,236.68
Green Group International,Doncaster,Provision of logistics and transport services,10931,993,129.09,44,11258.93,1092.3,218.46,44,11696.17,1201.53,240.31,44,1092.3,218.46,44,12570.65,1146.92,229.38,44,13007.89,1114.15,222.83,46,13554.44,1116.37,223.27,46,13991.68,1094.48,218.9,46,14210.3,1146.92,229.38,46,14647.54,1092.3,218.46,46,14756.85,1114.15,222.83,46,15051.99,1147.57,229.51
The Abbey Group UK,Chesterfield,"Production, treatment and forging of steel",13464,954,124.02,113,13867.92,1049.4,209.88,113,14406.48,1154.34,230.87,113,1049.4,209.88,113,15483.6,1101.87,220.37,113,16022.16,1070.39,214.08,115,16695.36,1072.53,214.51,115,17233.92,1051.5,210.3,115,17503.2,1101.87,220.37,115,18041.76,1049.4,209.88,115,18176.4,1070.39,214.08,115,18539.93,1102.5,220.5
Saul Construction,Rotherham,Building and civil engineering contractors,24888,954,124.02,109,25634.64,1049.4,209.88,109,26630.16,1154.34,230.87,109,1049.4,209.88,109,28621.2,1101.87,220.37,109,29616.72,1070.39,214.08,111,30861.12,1072.53,214.51,111,31856.64,1051.5,210.3,111,32354.4,1101.87,220.37,111,33349.92,1049.4,209.88,111,33598.8,1070.39,214.08,111,34270.78,1102.5,220.5
Kingfield Electronics,Sheffield,Production of electronic and electro-mechanical aparatus and sub-assemblies,24448,952,123.76,199,25181.44,1047.2,209.44,199,26159.36,1151.92,230.38,199,1047.2,209.44,199,28115.2,1099.56,219.91,199,29093.12,1068.14,213.63,201,30315.52,1070.28,214.06,201,31293.44,1049.29,209.86,201,31782.4,1099.56,219.91,201,32760.32,1047.2,209.44,201,33004.8,1068.14,213.63,201,33664.9,1100.19,220.04
Sargents Properties,Barnsley,Manufacture of bakery and confectionery products,10932,940,122.2,69,11259.96,1034,206.8,69,11697.24,1137.4,227.48,69,1034,206.8,69,12571.8,1085.7,217.14,69,13009.08,1054.68,210.94,71,13555.68,1056.79,211.36,71,13992.96,1036.07,207.21,71,14211.6,1085.7,217.14,71,14648.88,1034,206.8,71,14758.2,1054.68,210.94,71,15053.36,1086.32,217.26
BEN Bennett JR,Chesterfield,Quarrying of limestone and manufacture of cold rolled and hardened and tempered steel strip,12773,930,120.9,111,13156.19,1023,204.6,111,13667.11,1125.3,225.06,111,1023,204.6,111,14688.95,1074.15,214.83,111,15199.87,1043.46,208.69,113,15838.52,1045.55,209.11,113,16349.44,1025.05,205.01,113,16604.9,1074.15,214.83,113,17115.82,1023,204.6,113,17243.55,1043.46,208.69,113,17588.42,1074.76,214.95
Loadhog,Doncaster,"Manufacture, distribution and hire of re- packaging systems",15465,916,119.08,49,15928.95,1007.6,201.52,49,16547.55,1108.36,221.67,49,1007.6,201.52,49,17784.75,1057.98,211.6,49,18403.35,1027.75,205.55,51,19176.6,1029.81,205.96,51,19795.2,1009.62,201.92,51,20104.5,1057.98,211.6,51,20723.1,1007.6,201.52,51,20877.75,1027.75,205.55,51,21295.31,1058.58,211.72
